method,size,range,distribution,ordered,time
binarySort,1000000,10000,uniform,True,1.3008873462677002
quickSort,1000000,10000,uniform,True,1.9119384288787842
mergeSort,1000000,10000,uniform,True,2.98073148727417
quickSort,2000000,10000,uniform,True,4.733459234237671
binarySort,2000000,10000,uniform,True,3.6628530025482178
mergeSort,2000000,10000,uniform,True,7.209374189376831
quickSort,3000000,10000,uniform,True,7.787277698516846
binarySort,3000000,10000,uniform,True,5.451782941818237
mergeSort,3000000,10000,uniform,True,10.684571266174316
quickSort,4000000,10000,uniform,True,10.70078992843628
binarySort,4000000,10000,uniform,True,7.499467134475708
mergeSort,4000000,10000,uniform,True,14.515671730041504
binarySort,5000000,10000,uniform,True,9.696746349334717
quickSort,5000000,10000,uniform,True,14.498410701751709
mergeSort,5000000,10000,uniform,True,18.841939449310303
quickSort,6000000,10000,uniform,True,16.809605836868286
binarySort,6000000,10000,uniform,True,11.948659420013428
mergeSort,6000000,10000,uniform,True,23.326606512069702
binarySort,7000000,10000,uniform,True,14.365757942199707
quickSort,7000000,10000,uniform,True,20.312522649765015
mergeSort,7000000,10000,uniform,True,27.41731023788452
binarySort,8000000,10000,uniform,True,16.513630867004395
quickSort,8000000,10000,uniform,True,23.320810556411743
mergeSort,8000000,10000,uniform,True,31.44261860847473
binarySort,9000000,10000,uniform,True,18.747868537902832
quickSort,9000000,10000,uniform,True,27.947206735610962
mergeSort,9000000,10000,uniform,True,36.06040358543396
quickSort,1000000,20000,uniform,True,2.2461419105529785
mergeSort,1000000,20000,uniform,True,3.068096160888672
binarySort,1000000,20000,uniform,True,1.634657382965088
binarySort,10000000,10000,uniform,True,21.237338066101074
quickSort,10000000,10000,uniform,True,30.883984327316284
binarySort,2000000,20000,uniform,True,3.741800308227539
quickSort,2000000,20000,uniform,True,5.4451904296875
mergeSort,2000000,20000,uniform,True,7.193873643875122
quickSort,3000000,20000,uniform,True,8.14619779586792
binarySort,3000000,20000,uniform,True,5.773374319076538
mergeSort,3000000,20000,uniform,True,11.213098526000977
mergeSort,10000000,10000,uniform,True,41.15134263038635
binarySort,4000000,20000,uniform,True,8.13500714302063
quickSort,4000000,20000,uniform,True,11.640501499176025
mergeSort,4000000,20000,uniform,True,14.84932565689087
quickSort,5000000,20000,uniform,True,15.192704677581787
binarySort,5000000,20000,uniform,True,10.23340654373169
mergeSort,5000000,20000,uniform,True,19.491108417510986
quickSort,6000000,20000,uniform,True,17.996388912200928
binarySort,6000000,20000,uniform,True,12.696775436401367
mergeSort,6000000,20000,uniform,True,23.620800971984863
binarySort,7000000,20000,uniform,True,15.190431594848633
quickSort,7000000,20000,uniform,True,22.543973207473755
mergeSort,7000000,20000,uniform,True,27.641000986099243
quickSort,8000000,20000,uniform,True,27.22723388671875
binarySort,8000000,20000,uniform,True,17.810187339782715
mergeSort,8000000,20000,uniform,True,32.66333222389221
quickSort,9000000,20000,uniform,True,30.432931184768677
binarySort,9000000,20000,uniform,True,20.48085927963257
mergeSort,9000000,20000,uniform,True,37.88851833343506
quickSort,1000000,30000,uniform,True,2.370762348175049
mergeSort,1000000,30000,uniform,True,3.143967628479004
binarySort,1000000,30000,uniform,True,1.7430658340454102
binarySort,10000000,20000,uniform,True,23.006467580795288
quickSort,10000000,20000,uniform,True,33.90580177307129
quickSort,2000000,30000,uniform,True,5.382591009140015
binarySort,2000000,30000,uniform,True,3.5998358726501465
mergeSort,2000000,30000,uniform,True,7.10679292678833
quickSort,3000000,30000,uniform,True,8.69704556465149
binarySort,3000000,30000,uniform,True,5.866632461547852
mergeSort,3000000,30000,uniform,True,11.34369707107544
mergeSort,10000000,20000,uniform,True,42.17126655578613
binarySort,4000000,30000,uniform,True,8.285349130630493
quickSort,4000000,30000,uniform,True,12.477507829666138
mergeSort,4000000,30000,uniform,True,15.220102548599243
quickSort,5000000,30000,uniform,True,15.918807983398438
binarySort,5000000,30000,uniform,True,10.381410598754883
mergeSort,5000000,30000,uniform,True,19.87505793571472
quickSort,6000000,30000,uniform,True,19.135349988937378
binarySort,6000000,30000,uniform,True,12.973075151443481
mergeSort,6000000,30000,uniform,True,24.027273893356323
binarySort,7000000,30000,uniform,True,15.313360929489136
quickSort,7000000,30000,uniform,True,23.45652198791504
mergeSort,7000000,30000,uniform,True,28.368173837661743
quickSort,8000000,30000,uniform,True,26.804027795791626
binarySort,8000000,30000,uniform,True,17.530040979385376
mergeSort,8000000,30000,uniform,True,32.5209321975708
quickSort,9000000,30000,uniform,True,31.77370858192444
binarySort,9000000,30000,uniform,True,21.46546220779419
mergeSort,9000000,30000,uniform,True,39.277355909347534
quickSort,1000000,40000,uniform,True,2.69339656829834
mergeSort,1000000,40000,uniform,True,3.3208911418914795
binarySort,1000000,40000,uniform,True,2.1571547985076904
binarySort,10000000,30000,uniform,True,24.627767324447632
quickSort,10000000,30000,uniform,True,39.53013896942139
quickSort,2000000,40000,uniform,True,6.794996500015259
binarySort,2000000,40000,uniform,True,4.770392894744873
mergeSort,2000000,40000,uniform,True,8.49269437789917
quickSort,3000000,40000,uniform,True,10.712681770324707
binarySort,3000000,40000,uniform,True,6.969634294509888
mergeSort,10000000,30000,uniform,True,47.01845645904541
mergeSort,3000000,40000,uniform,True,12.618960857391357
quickSort,4000000,40000,uniform,True,15.712003946304321
binarySort,4000000,40000,uniform,True,10.03343939781189
mergeSort,4000000,40000,uniform,True,17.977070093154907
quickSort,5000000,40000,uniform,True,19.18573832511902
binarySort,5000000,40000,uniform,True,13.42548155784607
mergeSort,5000000,40000,uniform,True,24.949714183807373
quickSort,6000000,40000,uniform,True,27.665433406829834
binarySort,6000000,40000,uniform,True,17.972087144851685
mergeSort,6000000,40000,uniform,True,31.44438672065735
binarySort,7000000,40000,uniform,True,18.7876033782959
quickSort,7000000,40000,uniform,True,29.919061422348022
mergeSort,7000000,40000,uniform,True,35.11508870124817
quickSort,8000000,40000,uniform,True,33.92408227920532
binarySort,8000000,40000,uniform,True,23.34569239616394
mergeSort,8000000,40000,uniform,True,40.367873668670654
binarySort,9000000,40000,uniform,True,23.32624888420105
quickSort,9000000,40000,uniform,True,37.644230365753174
mergeSort,9000000,40000,uniform,True,42.31475853919983
quickSort,1000000,50000,uniform,True,2.593306303024292
mergeSort,1000000,50000,uniform,True,3.715827703475952
binarySort,1000000,50000,uniform,True,1.946753978729248
binarySort,10000000,40000,uniform,True,25.659433603286743
quickSort,2000000,50000,uniform,True,6.175286293029785
quickSort,10000000,40000,uniform,True,39.524362564086914
binarySort,2000000,50000,uniform,True,4.104848861694336
mergeSort,2000000,50000,uniform,True,7.688035488128662
quickSort,3000000,50000,uniform,True,9.439934015274048
binarySort,3000000,50000,uniform,True,6.621703386306763
mergeSort,3000000,50000,uniform,True,12.111170768737793
mergeSort,10000000,40000,uniform,True,46.3447527885437
quickSort,4000000,50000,uniform,True,13.264142990112305
binarySort,4000000,50000,uniform,True,8.914879322052002
mergeSort,4000000,50000,uniform,True,16.284114837646484
quickSort,5000000,50000,uniform,True,18.20181655883789
binarySort,5000000,50000,uniform,True,11.958516120910645
mergeSort,5000000,50000,uniform,True,21.302164316177368
quickSort,6000000,50000,uniform,True,22.31471085548401
binarySort,6000000,50000,uniform,True,14.262068748474121
mergeSort,6000000,50000,uniform,True,26.061169385910034
quickSort,7000000,50000,uniform,True,25.964378118515015
binarySort,7000000,50000,uniform,True,17.092294454574585
mergeSort,7000000,50000,uniform,True,31.344554662704468
binarySort,8000000,50000,uniform,True,20.12795639038086
quickSort,8000000,50000,uniform,True,33.20839977264404
mergeSort,8000000,50000,uniform,True,36.088050365448
binarySort,9000000,50000,uniform,True,24.558246850967407
quickSort,9000000,50000,uniform,True,38.446985960006714
mergeSort,9000000,50000,uniform,True,42.55252647399902
quickSort,1000000,10000,normal,True,2.2737505435943604
mergeSort,1000000,10000,normal,True,3.482041597366333
binarySort,1000000,10000,normal,True,1.7177696228027344
quickSort,2000000,10000,normal,True,5.147332191467285
quickSort,10000000,50000,uniform,True,41.11531686782837
binarySort,10000000,50000,uniform,True,25.45988178253174
binarySort,2000000,10000,normal,True,3.685044288635254
mergeSort,2000000,10000,normal,True,7.446960210800171
quickSort,3000000,10000,normal,True,8.332139253616333
binarySort,3000000,10000,normal,True,5.982901096343994
mergeSort,3000000,10000,normal,True,11.928479671478271
mergeSort,10000000,50000,uniform,True,45.92650127410889
quickSort,4000000,10000,normal,True,11.064420700073242
binarySort,4000000,10000,normal,True,8.122689485549927
mergeSort,4000000,10000,normal,True,15.795058012008667
quickSort,5000000,10000,normal,True,14.787984848022461
binarySort,5000000,10000,normal,True,10.668189287185669
mergeSort,5000000,10000,normal,True,20.684208631515503
quickSort,6000000,10000,normal,True,18.309065341949463
binarySort,6000000,10000,normal,True,13.32525634765625
mergeSort,6000000,10000,normal,True,25.651313066482544
quickSort,7000000,10000,normal,True,21.953524112701416
binarySort,7000000,10000,normal,True,15.766016006469727
mergeSort,7000000,10000,normal,True,30.112659215927124
quickSort,8000000,10000,normal,True,24.937286138534546
binarySort,8000000,10000,normal,True,17.814269542694092
mergeSort,8000000,10000,normal,True,34.129637718200684
binarySort,9000000,10000,normal,True,20.50976586341858
quickSort,9000000,10000,normal,True,29.812920331954956
mergeSort,9000000,10000,normal,True,39.50444984436035
quickSort,1000000,20000,normal,True,2.3360531330108643
mergeSort,1000000,20000,normal,True,3.270744562149048
quickSort,10000000,10000,normal,True,32.33581614494324
binarySort,1000000,20000,normal,True,1.9178614616394043
binarySort,10000000,10000,normal,True,22.731969356536865
quickSort,2000000,20000,normal,True,5.399749279022217
binarySort,2000000,20000,normal,True,3.954916477203369
mergeSort,2000000,20000,normal,True,7.522907733917236
quickSort,3000000,20000,normal,True,8.078450202941895
binarySort,3000000,20000,normal,True,6.056416988372803
mergeSort,3000000,20000,normal,True,11.398748636245728
mergeSort,10000000,10000,normal,True,43.578312158584595
quickSort,4000000,20000,normal,True,12.08950924873352
binarySort,4000000,20000,normal,True,8.740522861480713
mergeSort,4000000,20000,normal,True,15.93836259841919
quickSort,5000000,20000,normal,True,15.72832989692688
binarySort,5000000,20000,normal,True,10.926423072814941
mergeSort,5000000,20000,normal,True,20.393024682998657
quickSort,6000000,20000,normal,True,19.693551778793335
binarySort,6000000,20000,normal,True,13.621863842010498
mergeSort,6000000,20000,normal,True,24.94067358970642
binarySort,7000000,20000,normal,True,16.30757188796997
quickSort,7000000,20000,normal,True,23.062766551971436
mergeSort,7000000,20000,normal,True,29.893760204315186
quickSort,8000000,20000,normal,True,27.796454429626465
binarySort,8000000,20000,normal,True,18.619234323501587
mergeSort,8000000,20000,normal,True,33.93629050254822
quickSort,9000000,20000,normal,True,30.174373388290405
binarySort,9000000,20000,normal,True,21.100463390350342
mergeSort,9000000,20000,normal,True,38.79410982131958
quickSort,1000000,30000,normal,True,2.4321491718292236
mergeSort,1000000,30000,normal,True,3.2539255619049072
binarySort,1000000,30000,normal,True,1.7573022842407227
binarySort,10000000,20000,normal,True,23.613482236862183
quickSort,10000000,20000,normal,True,34.10059833526611
quickSort,2000000,30000,normal,True,5.5228660106658936
binarySort,2000000,30000,normal,True,3.8157150745391846
mergeSort,2000000,30000,normal,True,7.466875076293945
quickSort,3000000,30000,normal,True,8.800743579864502
binarySort,3000000,30000,normal,True,6.236400127410889
mergeSort,3000000,30000,normal,True,11.882426738739014
mergeSort,10000000,20000,normal,True,44.15683317184448
quickSort,4000000,30000,normal,True,12.114438772201538
binarySort,4000000,30000,normal,True,8.576169490814209
mergeSort,4000000,30000,normal,True,15.886613368988037
quickSort,5000000,30000,normal,True,16.777589559555054
binarySort,5000000,30000,normal,True,10.985402584075928
mergeSort,5000000,30000,normal,True,20.35609531402588
quickSort,6000000,30000,normal,True,19.976346731185913
binarySort,6000000,30000,normal,True,13.709833860397339
mergeSort,6000000,30000,normal,True,26.175220251083374
binarySort,7000000,30000,normal,True,16.754302263259888
quickSort,7000000,30000,normal,True,25.802420139312744
mergeSort,7000000,30000,normal,True,32.41407227516174
quickSort,8000000,30000,normal,True,32.4059100151062
binarySort,8000000,30000,normal,True,21.620549201965332
mergeSort,8000000,30000,normal,True,37.91093635559082
quickSort,9000000,30000,normal,True,34.57591485977173
binarySort,9000000,30000,normal,True,21.873487949371338
mergeSort,9000000,30000,normal,True,41.23477268218994
quickSort,1000000,40000,normal,True,2.534176826477051
mergeSort,1000000,40000,normal,True,3.4712088108062744
binarySort,10000000,30000,normal,True,24.044581174850464
binarySort,1000000,40000,normal,True,1.9567902088165283
quickSort,10000000,30000,normal,True,37.45327043533325
quickSort,2000000,40000,normal,True,5.373862266540527
binarySort,2000000,40000,normal,True,4.10414981842041
mergeSort,2000000,40000,normal,True,7.644133806228638
quickSort,3000000,40000,normal,True,9.201695919036865
binarySort,3000000,40000,normal,True,6.58561897277832
mergeSort,10000000,30000,normal,True,44.516921281814575
mergeSort,3000000,40000,normal,True,11.803021430969238
quickSort,4000000,40000,normal,True,12.801459789276123
binarySort,4000000,40000,normal,True,9.19555950164795
mergeSort,4000000,40000,normal,True,16.311452388763428
quickSort,5000000,40000,normal,True,17.138725519180298
binarySort,5000000,40000,normal,True,11.667526960372925
mergeSort,5000000,40000,normal,True,21.071362495422363
quickSort,6000000,40000,normal,True,20.497477293014526
binarySort,6000000,40000,normal,True,14.060885429382324
mergeSort,6000000,40000,normal,True,25.175795078277588
binarySort,7000000,40000,normal,True,16.857532262802124
quickSort,7000000,40000,normal,True,25.01126217842102
mergeSort,7000000,40000,normal,True,30.41160249710083
quickSort,8000000,40000,normal,True,30.122504234313965
binarySort,8000000,40000,normal,True,19.923701763153076
mergeSort,8000000,40000,normal,True,34.870349645614624
quickSort,9000000,40000,normal,True,32.76847696304321
binarySort,9000000,40000,normal,True,22.18575358390808
mergeSort,9000000,40000,normal,True,39.45637917518616
quickSort,1000000,50000,normal,True,2.46083927154541
mergeSort,1000000,50000,normal,True,3.3546295166015625
binarySort,1000000,50000,normal,True,1.9092957973480225
quickSort,10000000,40000,normal,True,35.75933384895325
binarySort,10000000,40000,normal,True,24.85672378540039
quickSort,2000000,50000,normal,True,5.729623556137085
binarySort,2000000,50000,normal,True,4.004872560501099
mergeSort,2000000,50000,normal,True,7.459369421005249
quickSort,3000000,50000,normal,True,9.297828912734985
binarySort,3000000,50000,normal,True,6.420644283294678
mergeSort,10000000,40000,normal,True,44.46345615386963
mergeSort,3000000,50000,normal,True,11.699247360229492
quickSort,4000000,50000,normal,True,13.433913946151733
binarySort,4000000,50000,normal,True,8.998055219650269
mergeSort,4000000,50000,normal,True,15.703939199447632
